category,MMSI,Vessel Name,IMO Number,Flag,Call Sign,Port of Registry,Owner Name,Owner Address,Operator Name,Operator Address,Infraction Links
matched_reg_ais,441038000,Daehwa 306,8709054,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,440786000,Daehwa 308,8805327,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,441825000,Daehwa 309,8605052,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,440125000,Daehwa 313,9031868,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,441057000,Daesung 216,8976114,South Korea,,,,,,,
matched_reg_ais,440815000,Daeyang 7,7408299,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,440179000,Dagah 601,8614895,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440108440,Dongil,5402942,South Korea,,,,,,,
matched_reg_ais,440502000,Dongil 5,9033763,South Korea,,BUSAN,,,,,
matched_reg_ais,440701000,Dongil 7,8910952,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,440620000,Dongwon 212,8843111,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,440584000,Dongwon 201,8714126,South Korea,,KR-PUS,"SNB INTERNATIONAL CO.,LTD","1346 Hanjae-ro, Gangnam-myeon, Cheongdo-gun, Gyeongsangbuk-do, Republic of Korea",,,
matched_reg_ais,440858000,Dongwon 203,8717805,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,440788000,Dongwon 205,8717817,South Korea,,KR-PUS,"SNB INTERNATIONAL CO.,LTD","1346 Hanjae-ro, Gangnam-myeon, Cheongdo-gun, Gyeongsangbuk-do, Republic of Korea",,,
matched_reg_ais,440765000,Dongwon 207,8619247,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,440574000,Dongwon 208,9042013,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,440782000,Dongwon 211,8821541,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",No info,unknown,
matched_reg_ais,440620000,Dongwon 212,8843111,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,440236000,Dongwon 216,8843094,South Korea,,BUSAN,Dongwon Industires,"68, Mabang-ro, Seocho-gu, Seoul, Republic of Korea",Dongwon Industires,"68, Mabang-ro, Seocho-gu, Seoul, Republic of Korea",
matched_reg_ais,440636000,Dongwon 617,8714023,South Korea,,,,,,,
matched_reg_ais,440900000,Dongwon 618,8815669,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440809000,Dongwon 619,8815671,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440952000,Dongwon 620,8821498,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440780000,Dongwon 621,8905567,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440641000,Dongwon 622,8905579,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440781000,Dongwon 623,8905581,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440895000,Dongwon 631,8911310,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",,,
matched_reg_ais,440954000,Dongwon 632,8911322,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440894000,Dongwon 633,8911334,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,441644000,Dongwon 637,9032991,South Korea,,KR-PUS,"DONGWON FISHERIES  Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","Dong Won Fisheries Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU,",
matched_reg_ais,441645000,Dongwon 638,9016399,South Korea,,KR-PUS,DONGWON FISHERIES CO.LTD.,"4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,440089000,Dongwon 639,9011167,South Korea,,KR-PUS,"DONGWON FISHERIES CO.,LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA","DONGWON FISHERIES CO., LTD","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",
matched_reg_ais,441524000,Dongwon 650,9036715,South Korea,,KR-PUS,"DONGWON FISHERIES CO., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",,,
matched_reg_ais,440079000,Dongwon 651,9042740,South Korea,,KR-PUS,"DONGWON FISHERIES Co., Ltd","4F, 38, DONGMAK-RO 8-GIL, MAPO-GU, SEOUL, KOREA",,,
matched_reg_ais,440646000,Dongwon 803,8610631,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
